TESTE COM ARQUIVO GRANDE

-----------Padrão pequeno

#Forca Bruta

Casamento na posicao: 1931531
Casamento na posicao: 1939205
Casamento na posicao: 1940217
Casamento na posicao: 1940916
Casamento na posicao: 1948590
Casamento na posicao: 1949602
Casamento na posicao: 1950301
Casamento na posicao: 1957975
Casamento na posicao: 1958987
Casamento na posicao: 1959686
Casamento na posicao: 1967360
Casamento na posicao: 1968372
Casamento na posicao: 1969071
Casamento na posicao: 1976745
Casamento na posicao: 1977757
Casamento na posicao: 1978456
Casamento na posicao: 1986130
Casamento na posicao: 1987142
Casamento na posicao: 1987841
Casamento na posicao: 1995515
Casamento na posicao: 1996527
Casamento na posicao: 1997226
Deslocamentos: 1999997
Comparacoes: 2013077
Tempo Total: 0.029539

#BMC

Casamento na posicao: 1665
Casamento na posicao: 2677
Casamento na posicao: 3376
Casamento na posicao: 11050
Casamento na posicao: 12062
Casamento na posicao: 12761
Casamento na posicao: 20435
Casamento na posicao: 21447
Casamento na posicao: 22146
Casamento na posicao: 29820
Casamento na posicao: 30832
Casamento na posicao: 31531
Casamento na posicao: 39205
Casamento na posicao: 40217
Casamento na posicao: 40916
Casamento na posicao: 48590
Casamento na posicao: 49602
Casamento na posicao: 50301
Casamento na posicao: 57975
Casamento na posicao: 58987
Casamento na posicao: 59686
Casamento na posicao: 67360
Casamento na posicao: 68372
Casamento na posicao: 69071
Casamento na posicao: 76745
Casamento na posicao: 77757
Casamento na posicao: 78456
Casamento na posicao: 86130
Casamento na posicao: 87142
Casamento na posicao: 87841
Casamento na posicao: 95515
Casamento na posicao: 96527
Casamento na posicao: 97226
Casamento na posicao: 101665
Casamento na posicao: 102677
Casamento na posicao: 103376
Casamento na posicao: 111050
Casamento na posicao: 112062
Casamento na posicao: 112761
Casamento na posicao: 120435
Casamento na posicao: 121447
Casamento na posicao: 122146
Casamento na posicao: 129820
Casamento na posicao: 130832
Casamento na posicao: 131531
Casamento na posicao: 139205
Casamento na posicao: 140217
Casamento na posicao: 140916
Casamento na posicao: 148590
Casamento na posicao: 149602
Casamento na posicao: 150301
Casamento na posicao: 157975
Casamento na posicao: 158987
Casamento na posicao: 159686
Casamento na posicao: 167360
Casamento na posicao: 168372
Casamento na posicao: 169071
Casamento na posicao: 176745
Casamento na posicao: 177757
Casamento na posicao: 178456
Casamento na posicao: 186130
Casamento na posicao: 187142
Casamento na posicao: 187841
Casamento na posicao: 195515
Casamento na posicao: 196527
Casamento na posicao: 197226
Casamento na posicao: 201666
Casamento na posicao: 202678
Casamento na posicao: 203377
Casamento na posicao: 211051
Casamento na posicao: 212063
Casamento na posicao: 212762
Casamento na posicao: 220436
Casamento na posicao: 221448
Casamento na posicao: 222147
Casamento na posicao: 229821
Casamento na posicao: 230833
Casamento na posicao: 231532
Casamento na posicao: 239206
Casamento na posicao: 240218
Casamento na posicao: 240917
Casamento na posicao: 248591
Casamento na posicao: 249603
Casamento na posicao: 250302
Casamento na posicao: 257976
Casamento na posicao: 258988
Casamento na posicao: 259687
Casamento na posicao: 267361
Casamento na posicao: 268373
Casamento na posicao: 269072
Casamento na posicao: 276746
Casamento na posicao: 277758
Casamento na posicao: 278457
Casamento na posicao: 286131
Casamento na posicao: 287143
Casamento na posicao: 287842
Casamento na posicao: 295516
Casamento na posicao: 296528
Casamento na posicao: 297227
Casamento na posicao: 301665
Casamento na posicao: 302677
Casamento na posicao: 303376
Casamento na posicao: 311050
Casamento na posicao: 312062
Casamento na posicao: 312761
Casamento na posicao: 320435
Casamento na posicao: 321447
Casamento na posicao: 322146
Casamento na posicao: 329820
Casamento na posicao: 330832
Casamento na posicao: 331531
Casamento na posicao: 339205
Casamento na posicao: 340217
Casamento na posicao: 340916
Casamento na posicao: 348590
Casamento na posicao: 349602
Casamento na posicao: 350301
Casamento na posicao: 357975
Casamento na posicao: 358987
Casamento na posicao: 359686
Casamento na posicao: 367360
Casamento na posicao: 368372
Casamento na posicao: 369071
Casamento na posicao: 376745
Casamento na posicao: 377757
Casamento na posicao: 378456
Casamento na posicao: 386130
Casamento na posicao: 387142
Casamento na posicao: 387841
Casamento na posicao: 395515
Casamento na posicao: 396527
Casamento na posicao: 397226
Casamento na posicao: 401665
Casamento na posicao: 402677
Casamento na posicao: 403376
Casamento na posicao: 411050
Casamento na posicao: 412062
Casamento na posicao: 412761
Casamento na posicao: 420435
Casamento na posicao: 421447
Casamento na posicao: 422146
Casamento na posicao: 429820
Casamento na posicao: 430832
Casamento na posicao: 431531
Casamento na posicao: 439205
Casamento na posicao: 440217
Casamento na posicao: 440916
Casamento na posicao: 448590
Casamento na posicao: 449602
Casamento na posicao: 450301
Casamento na posicao: 457975
Casamento na posicao: 458987
Casamento na posicao: 459686
Casamento na posicao: 467360
Casamento na posicao: 468372
Casamento na posicao: 469071
Casamento na posicao: 476745
Casamento na posicao: 477757
Casamento na posicao: 478456
Casamento na posicao: 486130
Casamento na posicao: 487142
Casamento na posicao: 487841
Casamento na posicao: 495515
Casamento na posicao: 496527
Casamento na posicao: 497226
Casamento na posicao: 501666
Casamento na posicao: 502678
Casamento na posicao: 503377
Casamento na posicao: 511051
Casamento na posicao: 512063
Casamento na posicao: 512762
Casamento na posicao: 520436
Casamento na posicao: 521448
Casamento na posicao: 522147
Casamento na posicao: 529821
Casamento na posicao: 530833
Casamento na posicao: 531532
Casamento na posicao: 539206
Casamento na posicao: 540218
Casamento na posicao: 540917
Casamento na posicao: 548591
Casamento na posicao: 549603
Casamento na posicao: 550302
Casamento na posicao: 557976
Casamento na posicao: 558988
Casamento na posicao: 559687
Casamento na posicao: 567361
Casamento na posicao: 568373
Casamento na posicao: 569072
Casamento na posicao: 576746
Casamento na posicao: 577758
Casamento na posicao: 578457
Casamento na posicao: 586131
Casamento na posicao: 587143
Casamento na posicao: 587842
Casamento na posicao: 595516
Casamento na posicao: 596528
Casamento na posicao: 597227
Casamento na posicao: 601665
Casamento na posicao: 602677
Casamento na posicao: 603376
Casamento na posicao: 611050
Casamento na posicao: 612062
Casamento na posicao: 612761
Casamento na posicao: 620435
Casamento na posicao: 621447
Casamento na posicao: 622146
Casamento na posicao: 629820
Casamento na posicao: 630832
Casamento na posicao: 631531
Casamento na posicao: 639205
Casamento na posicao: 640217
Casamento na posicao: 640916
Casamento na posicao: 648590
Casamento na posicao: 649602
Casamento na posicao: 650301
Casamento na posicao: 657975
Casamento na posicao: 658987
Casamento na posicao: 659686
Casamento na posicao: 667360
Casamento na posicao: 668372
Casamento na posicao: 669071
Casamento na posicao: 676745
Casamento na posicao: 677757
Casamento na posicao: 678456
Casamento na posicao: 686130
Casamento na posicao: 687142
Casamento na posicao: 687841
Casamento na posicao: 695515
Casamento na posicao: 696527
Casamento na posicao: 697226
Casamento na posicao: 701665
Casamento na posicao: 702677
Casamento na posicao: 703376
Casamento na posicao: 711050
Casamento na posicao: 712062
Casamento na posicao: 712761
Casamento na posicao: 720435
Casamento na posicao: 721447
Casamento na posicao: 722146
Casamento na posicao: 729820
Casamento na posicao: 730832
Casamento na posicao: 731531
Casamento na posicao: 739205
Casamento na posicao: 740217
Casamento na posicao: 740916
Casamento na posicao: 748590
Casamento na posicao: 749602
Casamento na posicao: 750301
Casamento na posicao: 757975
Casamento na posicao: 758987
Casamento na posicao: 759686
Casamento na posicao: 767360
Casamento na posicao: 768372
Casamento na posicao: 769071
Casamento na posicao: 776745
Casamento na posicao: 777757
Casamento na posicao: 778456
Casamento na posicao: 786130
Casamento na posicao: 787142
Casamento na posicao: 787841
Casamento na posicao: 795515
Casamento na posicao: 796527
Casamento na posicao: 797226
Casamento na posicao: 801666
Casamento na posicao: 802678
Casamento na posicao: 803377
Casamento na posicao: 811051
Casamento na posicao: 812063
Casamento na posicao: 812762
Casamento na posicao: 820436
Casamento na posicao: 821448
